5.30000
   1   0   0
  Station:  ALBIA IA                                       CLIGEN VER. 5.30000 -r:    0 -I: 0
 Latitude Longitude Elevation (m) Obs. Years   Beginning year  Years simulated Command Line:
    41.03   -92.80         286          45           1               1          -istations/ia/Ia130112.par -oOUT.TXT -y1 -t5 -F -b1 -H 
 Observed monthly ave max temperature (C)
   0.0   3.1   9.1  17.3  23.4  28.2  30.7  29.4  25.3  19.2   9.8   2.2
 Observed monthly ave min temperature (C)
  -8.8  -6.8  -2.0   4.9  10.8  15.9  18.5  17.2  12.5   6.5  -0.6  -6.5
 Observed monthly ave solar radiation (Langleys/day)
 175.0 254.0 330.0 411.0 492.0 549.0 524.0 475.0 387.0 286.0 196.0 147.0
 Observed monthly ave precipitation (mm)
  26.4  28.0  59.4  85.9 107.5 111.9 117.7  93.7 104.8  61.4  58.8  33.5
 da mo year  prcp  dur   tp     ip  tmax  tmin  rad  w-vl w-dir  tdew
             (mm)  (h)               (C)   (C) (l/d) (m/s)(Deg)   (C)
 20  9    1   0.3  2.15 0.03   2.21  22.3   8.9 247.  6.3  199.   9.0
 21  9    1   0.0  0.00 0.00   0.00  20.3   6.5 443.  6.3   54.   6.9
 22  9    1   0.0  0.00 0.00   0.00  29.2  16.9 374.  5.6  165.  14.5
 23  9    1   0.0  0.00 0.00   0.00  27.3  13.5 406.  8.5  172.  14.5
 24  9    1   0.0  0.00 0.00   0.00  16.2   2.6 440.  2.0  324.   3.0
 25  9    1   0.3  1.33 0.02   1.44  22.6  10.4 180.  3.6  155.   9.0
 26  9    1   0.5  1.12 0.81   2.79  23.3  11.2 497.  0.0    0.   9.7
 27  9    1   0.0  0.00 0.00   0.00  28.1  14.5 449.  3.5  188.  15.7
 28  9    1   0.0  0.00 0.00   0.00  23.0   8.3 336.  2.6  130.   9.8
 29  9    1   0.0  0.00 0.00   0.00  29.1  18.0 486.  6.9  335.  15.6
 30  9    1   0.0  0.00 0.00   0.00  34.5  21.4 369.  1.4   16.  20.0
  1 10    1   0.0  0.00 0.00   0.00  22.0   8.6 276.  6.0  272.   6.3
  2 10    1   0.0  0.00 0.00   0.00  17.3   4.6 313.  5.2   14.   2.6
  3 10    1   0.0  0.00 0.00   0.00   9.4  -1.3 280.  5.5  209.  -3.7
  4 10    1   0.0  0.00 0.00   0.00  16.4   5.1 171.  7.7    0.   5.4
  5 10    1   0.0  0.00 0.00   0.00  24.4  10.9 257. 10.8  311.   9.5
  6 10    1   0.0  0.00 0.00   0.00  17.7   5.5 225.  6.1  325.   4.2
  7 10    1   0.0  0.00 0.00   0.00  13.5   3.9 284.  3.9  259.   5.4
  8 10    1   0.0  0.00 0.00   0.00  12.8   2.4 340.  2.0   86.   0.8
  9 10    1   5.7  2.18 0.04   7.08  19.3   4.2 118.  6.0  178.   2.8
 10 10    1   0.7  2.85 0.05   3.41  27.0  15.0 275.  2.6  100.  13.3
 11 10    1   0.7  3.58 0.09  10.45   8.2  -4.1 381.  5.0  127.  -4.9
 12 10    1   0.0  0.00 0.00   0.00  23.0  13.5 318.  4.2  294.  14.0
 13 10    1   0.0  0.00 0.00   0.00  26.2  12.9 377.  9.5  316.  12.8
 14 10    1   0.0  0.00 0.00   0.00  14.5   0.7 293.  0.0    0.  -0.0
 15 10    1   0.0  0.00 0.00   0.00  12.0  -0.5 164.  3.7   39.  -0.6
 16 10    1   0.0  0.00 0.00   0.00  12.2   2.8 337.  7.7  212.  -0.3
 17 10    1  20.7  3.19 0.07   3.21  24.7  14.2 312.  4.3  259.  15.4
 18 10    1   5.0  3.92 0.15   1.81  18.9   5.3 247.  3.0  329.   8.0
 19 10    1   0.0  0.00 0.00   0.00  17.8   4.6 231.  3.6    3.   4.3
 20 10    1   0.0  0.00 0.00   0.00  22.6  11.1 187.  4.0  327.  12.7
 21 10    1   0.0  0.00 0.00   0.00  27.1  12.2 339.  4.7  109.  14.1
 22 10    1   3.3  3.03 0.03   8.59  23.0   5.9 252. 10.6  312.   4.6
 23 10    1  18.0  3.43 0.01   9.33  19.0  10.6 290.  4.9  198.  11.7
 24 10    1  26.9  3.04 0.04   3.22  31.2  16.9 278.  3.6  179.  16.3
 25 10    1   0.0  0.00 0.00   0.00  21.0   7.5 230.  6.4  283.   7.3
 26 10    1   0.0  0.00 0.00   0.00  19.0   7.4 258.  5.4  293.   7.2
 27 10    1   0.0  0.00 0.00   0.00  17.5   3.8 261.  5.4  308.   4.6
 28 10    1   0.0  0.00 0.00   0.00  20.7  11.4 237.  1.9  313.   9.6
 29 10    1   0.0  0.00 0.00   0.00   9.6  -4.0 309.  7.8  204.  -6.6
 30 10    1   0.0  0.00 0.00   0.00  12.3  -0.3 309.  6.6  208.  -1.1
 31 10    1   0.0  0.00 0.00   0.00  25.9  11.6 203.  5.8  180.  10.2
  1 11    1   0.0  0.00 0.00   0.00  12.8   2.0 156.  9.1  181.  -0.4
  2 11    1  38.7  8.67 0.03   6.79   9.9  -1.5 141.  4.4  111.  -1.6
  3 11    1   0.0  0.00 0.00   0.00  -1.3  -5.4 159.  8.8  317.  -6.8
  4 11    1   0.0  0.00 0.00   0.00   2.7  -3.8 151. 14.5  298.  -2.7
  5 11    1   0.0  0.00 0.00   0.00  10.8   3.3 241. 15.2  308.   1.1
  6 11    1   0.0  0.00 0.00   0.00  17.5   2.8 159.  1.3   39.   5.1
  7 11    1   2.7 11.08 0.02   6.88  11.5   0.4 234.  3.7  157.   4.2
  8 11    1   0.0  0.00 0.00   0.00   2.3  -5.0 238.  4.7  309.  -6.2
  9 11    1   0.0  0.00 0.00   0.00   1.7  -5.8 109.  4.6  273.  -6.4
 10 11    1   1.7  5.93 0.03   4.12  20.5   6.0 141.  5.9  261.   3.5
 11 11    1   6.3  7.83 0.84   1.01  -0.6 -10.5 210. 20.3  318.  -8.7
 12 11    1   0.0  0.00 0.00   0.00  11.9   5.3 167.  4.5  273.   8.4
 13 11    1   0.0  0.00 0.00   0.00  16.3   2.5 188.  3.7  102.  -0.4
 14 11    1   0.0  0.00 0.00   0.00   1.4  -8.2 127.  6.4    2. -10.4
 15 11    1   0.0  0.00 0.00   0.00  10.8  -2.2 261.  5.9  327.  -5.2
 16 11    1   0.0  0.00 0.00   0.00   4.4  -4.5 229.  5.6  147.  -7.2
 17 11    1   0.0  0.00 0.00   0.00  15.7   5.3 156.  3.1   45.   6.3
 18 11    1   0.0  0.00 0.00   0.00  11.2  -1.8 268.  7.8  256.  -2.7
 19 11    1   0.0  0.00 0.00   0.00   9.4  -0.1 204.  5.2  320.  -2.3
 20 11    1   0.0  0.00 0.00   0.00   7.3   2.0 171.  9.1  318.   1.7
 21 11    1   2.5  5.91 0.15  11.13  19.8   5.7 239.  4.8  172.   5.9
 22 11    1   0.0  0.00 0.00   0.00  22.0  11.1 185.  3.4   74.  14.9
 23 11    1   0.0  0.00 0.00   0.00   9.2  -0.2 262.  8.5  337.  -4.1
 24 11    1   0.0  0.00 0.00   0.00   2.9  -4.1 105.  5.7  291.  -3.3
 25 11    1   1.2  3.71 0.29   1.01   5.6  -8.9 239.  4.1  298.  -9.5
 26 11    1   0.0  0.00 0.00   0.00  12.4  -3.6 213.  3.0   41.  -8.3
 27 11    1   0.0  0.00 0.00   0.00  12.8  -4.0 140.  2.7  292.  -4.6
 28 11    1   0.0  0.00 0.00   0.00  17.0   7.9 225.  7.3  268.   7.4
 29 11    1   0.0  0.00 0.00   0.00  21.4  14.7 229.  5.8  179.  10.1
 30 11    1   0.0  0.00 0.00   0.00  11.5  -2.4 157.  5.2  174.  -2.5
  1 12    1   7.0  4.56 0.06   1.01 -11.4 -12.7 126.  7.6  316. -12.1
  2 12    1   3.9  8.26 0.09   1.01   1.9 -10.8 113.  5.6  172. -16.4
  3 12    1   1.2  2.29 0.07   1.01   3.4 -13.9 111.  6.4  191. -10.7
  4 12    1   1.0  8.65 0.10   1.01   1.2  -7.6 108.  4.4  183.  -5.0
  5 12    1   0.8  7.38 0.53   1.01  -6.1  -9.5 187.  2.7  228.  -9.8
  6 12    1   0.0  0.00 0.00   0.00  -6.1 -11.0 159.  8.9  299.  -8.9
  7 12    1   0.0  0.00 0.00   0.00   2.2  -7.3 137.  5.1  271.  -2.7
  8 12    1   0.0  0.00 0.00   0.00   0.8 -10.5 176.  4.1   64.  -9.5
  9 12    1   2.5  2.40 0.06   1.70  10.0   0.9  38.  3.6  310.   1.0
 10 12    1   0.0  0.00 0.00   0.00   3.2  -4.7  99.  8.9  317.  -5.6
 11 12    1   0.0  0.00 0.00   0.00 -12.7 -25.5 154.  7.0  308. -26.3
 12 12    1   0.0  0.00 0.00   0.00   2.8 -12.0 168.  3.0   42.  -9.4
 13 12    1   0.0  0.00 0.00   0.00   1.9  -6.5 154.  5.9  159.  -7.3
 14 12    1   0.0  0.00 0.00   0.00   1.0  -2.3 124.  8.0   26.  -1.7
 15 12    1   0.0  0.00 0.00   0.00   7.9  -4.7 179.  3.7  269.  -7.4
 16 12    1   0.0  0.00 0.00   0.00   3.9  -4.9 118.  4.0  168.  -2.6
 17 12    1   0.0  0.00 0.00   0.00   5.3  -1.1 160.  3.3   95.  -7.0
 18 12    1   0.0  0.00 0.00   0.00  11.0   0.4 201.  8.3  337.  -1.8
 19 12    1   0.0  0.00 0.00   0.00   1.3  -5.3 145.  6.0  159.  -3.8
 20 12    1   0.0  0.00 0.00   0.00  11.2  -0.6 134.  1.7  144.  -1.9
 21 12    1   0.7  3.39 0.00   3.05   4.8  -4.0 106.  8.8  309.  -2.2
 22 12    1   3.5  7.37 0.83   1.01  -6.9  -9.5 111.  5.5  228.  -8.3
 23 12    1   3.4  3.97 0.04   1.01   0.1  -4.7 161.  5.2  343.  -3.9
 24 12    1   0.0  0.00 0.00   0.00   6.4  -0.3 127.  8.4  338.   0.6
 25 12    1   0.0  0.00 0.00   0.00   1.4  -5.5 143.  1.1  348.  -5.4
 26 12    1   0.0  0.00 0.00   0.00  -6.6 -16.9 206.  6.8  166. -20.0
 27 12    1  13.1  5.33 0.05   1.01   0.8  -7.4 138.  6.1   49.  -9.9
 28 12    1   0.0  0.00 0.00   0.00  13.7   2.5 192.  3.5  265.   3.0
 29 12    1   0.0  0.00 0.00   0.00   7.7  -1.7 145.  8.8  344.   1.5
 30 12    1  25.3  4.35 0.07   1.01  -1.5 -10.1 154.  3.5   47. -10.9
 31 12    1   2.2  5.24 0.00   1.01  -2.0 -13.5 153.  3.3  307. -12.7
  
