5.30000
   1   0   0
  Station:  ALBIA IA                                       CLIGEN VER. 5.30000 -r:    0 -I: 0
 Latitude Longitude Elevation (m) Obs. Years   Beginning year  Years simulated Command Line:
    41.03   -92.80         286          45           1               1          -istations/ia/Ia130112.par -oOUT.TXT -y1 -t5 -F -b1 -H 
 Observed monthly ave max temperature (C)
   0.0   3.1   9.1  17.3  23.4  28.2  30.7  29.4  25.3  19.2   9.8   2.2
 Observed monthly ave min temperature (C)
  -8.8  -6.8  -2.0   4.9  10.8  15.9  18.5  17.2  12.5   6.5  -0.6  -6.5
 Observed monthly ave solar radiation (Langleys/day)
 175.0 254.0 330.0 411.0 492.0 549.0 524.0 475.0 387.0 286.0 196.0 147.0
 Observed monthly ave precipitation (mm)
  26.4  28.0  59.4  85.9 107.5 111.9 117.7  93.7 104.8  61.4  58.8  33.5
 da mo year  prcp  dur   tp     ip  tmax  tmin  rad  w-vl w-dir  tdew
             (mm)  (h)               (C)   (C) (l/d) (m/s)(Deg)   (C)
 27  2    1   0.0  0.00 0.00   0.00 -10.5 -13.6 277.  5.7  136. -12.1
 28  2    1   0.7  2.58 0.07   3.09   9.7  -4.3 213.  4.9  322.  -4.7
  1  3    1  12.3  1.69 0.08   1.01   0.8 -12.3 343.  3.5  122. -12.4
  2  3    1  10.1  3.18 0.03   3.51  23.8   0.1 255.  3.0   45.  -1.0
  3  3    1   1.8  2.28 0.01   2.44   8.1  -2.4 398.  8.0  308.  -5.6
  4  3    1   0.0  0.00 0.00   0.00   2.5  -7.2 337.  1.4  263.  -9.1
  5  3    1   0.0  0.00 0.00   0.00  11.3  -4.4 303.  5.1  295.  -8.0
  6  3    1   3.6  0.39 0.02   1.01  11.4   2.6 326.  4.5  162.  -1.6
  7  3    1   0.0  0.00 0.00   0.00   1.7 -14.8 401. 10.9  290. -12.4
  8  3    1   0.3  2.99 0.04   4.53  14.8   4.2 250.  6.0  185.   6.0
  9  3    1   8.3  1.18 0.16   1.10  11.6  -3.2 256.  4.4  119.  -3.4
 10  3    1  23.9  2.54 0.04   1.01   5.5   4.0 381.  6.6  113.  -2.4
 11  3    1   0.0  0.00 0.00   0.00   7.3  -2.6 341.  8.4  330.  -0.8
 12  3    1   0.3  6.74 0.06  11.53  17.8   7.2 469.  6.5  289.   5.1
 13  3    1   0.0  0.00 0.00   0.00  11.9  -0.6 444.  6.6  102.  -0.6
 14  3    1   1.6  2.74 0.91   5.16  12.2  -3.5 310. 12.1  325.  -3.4
 15  3    1   0.0  0.00 0.00   0.00   1.3 -11.1 435.  6.1  329. -10.7
 16  3    1   0.0  0.00 0.00   0.00  10.6   1.4 298.  7.9  164.   0.7
 17  3    1   0.0  0.00 0.00   0.00  14.5   3.9 248.  5.9  190.   0.8
 18  3    1   0.0  0.00 0.00   0.00   9.1  -9.2 252.  5.6   44.  -8.8
 19  3    1   3.8  4.37 0.13   1.01   4.6  -6.1 297.  7.2  355.  -7.2
 20  3    1   0.0  0.00 0.00   0.00  11.4  -0.0 379.  5.6  328.   3.8
 21  3    1   0.0  0.00 0.00   0.00  13.7  -0.6 367.  5.7  101.   6.2
 22  3    1   0.0  0.00 0.00   0.00   6.0  -5.5 309.  6.6  172.  -8.2
 23  3    1   0.0  0.00 0.00   0.00  10.1   0.7 261. 10.7  160.  -1.0
 24  3    1   0.0  0.00 0.00   0.00  12.3   8.2 275.  1.9  125.   9.0
 25  3    1   0.0  0.00 0.00   0.00   6.2   0.1 300.  3.7   30.  -6.4
 26  3    1   0.0  0.00 0.00   0.00   5.0  -1.1 289.  3.8  194.  -4.5
 27  3    1   0.0  0.00 0.00   0.00  16.1   3.0 424.  3.4  119.   3.8
 28  3    1   0.0  0.00 0.00   0.00  13.0  -1.2 334.  3.6   11.  -3.9
 29  3    1   0.0  0.00 0.00   0.00  19.0   6.5 231.  5.5  162.   3.0
 30  3    1   0.0  0.00 0.00   0.00   5.0  -4.5 409.  7.1   36.  -9.6
 31  3    1   0.0  0.00 0.00   0.00   1.9  -9.9 187.  6.0  275. -11.3
  1  4    1   0.0  0.00 0.00   0.00  21.5  11.4 356.  6.2   79.   5.9
  2  4    1   0.0  0.00 0.00   0.00  25.5   9.5 489.  6.9  315.   6.4
  3  4    1   0.0  0.00 0.00   0.00  12.2   1.5 523.  4.0   89.   1.2
  4  4    1   1.3  3.90 0.05   3.81  22.5   9.8 241.  6.5  293.  11.8
  5  4    1   2.2  1.07 0.05   1.54   6.1  -3.7 519.  9.6  185.  -4.5
  6  4    1   0.0  0.00 0.00   0.00  24.4   7.9 602.  1.6   87.   5.1
  7  4    1  24.9  1.90 0.08   2.74  22.8   1.8 374.  3.1  300.  -0.8
  8  4    1   0.0  0.00 0.00   0.00  14.0   2.1 461.  5.1  253.  -1.3
  9  4    1   0.0  0.00 0.00   0.00   6.9  -2.5 540.  5.5  350.  -1.3
 10  4    1   0.0  0.00 0.00   0.00  16.8  -0.7 375.  5.4  353.   4.2
 11  4    1   0.0  0.00 0.00   0.00  22.5  10.6 509.  6.4    2.   8.0
 12  4    1   7.3  0.88 0.01   1.01   4.4  -6.2 281.  3.4   36.  -3.8
 13  4    1  15.0  1.95 0.05   4.79  27.5  10.5 492.  2.9  128.   6.4
 14  4    1   2.9  3.96 0.05   3.94   9.2   3.9 426.  5.9    7.   2.7
 15  4    1   0.3  0.76 0.84   1.55  19.8   6.4 392.  5.7  103.   3.2
 16  4    1   0.0  0.00 0.00   0.00  16.5   2.0 330.  5.6   55.   1.5
 17  4    1   5.7  2.94 0.08  14.97  17.0   5.6 294.  7.1  201.   4.2
 18  4    1  11.2  1.67 0.98   3.06  28.9  11.3 432. 10.3  357.   8.4
 19  4    1   0.0  0.00 0.00   0.00  24.9   7.2 557.  5.0   34.   2.5
 20  4    1   0.0  0.00 0.00   0.00  19.9   6.1 215.  6.9  159.   5.7
 21  4    1   0.0  0.00 0.00   0.00  16.6   3.2 318.  5.7  222.   5.5
 22  4    1   0.0  0.00 0.00   0.00  18.7   7.1 373.  4.8  322.   8.3
 23  4    1   0.0  0.00 0.00   0.00  23.1  14.8 280. 12.0  286.  14.2
 24  4    1   0.3  4.54 0.42  12.61  12.9   5.5 442.  2.4  188.   0.4
 25  4    1   0.8  4.47 0.02   6.32   7.1  -4.2 346.  9.7  180.  -2.3
 26  4    1   0.0  0.00 0.00   0.00  21.2  11.7 282.  5.9  114.   9.8
 27  4    1   0.0  0.00 0.00   0.00  21.5   5.7 491.  4.1  138.   4.2
 28  4    1   0.0  0.00 0.00   0.00  13.3   2.4 454.  9.8  192.  -0.6
 29  4    1   0.0  0.00 0.00   0.00  23.9   7.7 370.  5.5  334.   8.3
 30  4    1   7.4  0.94 0.06   1.85   6.6   2.6 313.  8.9  313.   2.3
  1  5    1   3.8  6.77 0.97  24.85  14.9   4.2 625.  5.2  214.   0.3
  2  5    1   0.3  1.06 0.01   2.26  25.7  14.7 156.  5.9  113.  12.2
  3  5    1  24.0  0.70 0.20   1.73  15.6   4.0 335.  5.0   31.   3.0
  4  5    1   4.8  3.17 0.07   3.38  26.9  15.8 575.  4.3  320.  13.6
  5  5    1   0.0  0.00 0.00   0.00  21.4   9.0 491.  6.7  165.   6.1
  6  5    1   2.7  3.43 0.08   2.52  18.4   7.0 606.  1.6  308.   6.5
  7  5    1   0.0  0.00 0.00   0.00  20.0   6.7 391.  3.2  316.   7.2
  8  5    1   0.0  0.00 0.00   0.00  25.6  13.1 444.  6.2  220.   9.9
  9  5    1   0.0  0.00 0.00   0.00  22.9   9.5 593.  1.8  360.   7.1
 10  5    1   0.0  0.00 0.00   0.00  26.8  11.0 449.  5.7  128.  10.6
 11  5    1   0.0  0.00 0.00   0.00  20.2   7.7 542.  6.1  304.   6.8
 12  5    1   0.0  0.00 0.00   0.00  21.6  10.4 571.  4.6  333.   9.1
 13  5    1   0.0  0.00 0.00   0.00  18.9   8.3 473.  5.0   34.   6.1
 14  5    1   0.0  0.00 0.00   0.00  24.7  14.2 516.  4.2   96.  13.1
 15  5    1   0.0  0.00 0.00   0.00  31.9  20.2 486.  3.8  205.  18.9
 16  5    1   0.0  0.00 0.00   0.00  25.8  14.4 294.  5.1  136.  14.5
 17  5    1   0.0  0.00 0.00   0.00  25.0  14.0 562.  2.3  265.  14.0
 18  5    1  21.6  1.72 0.07   3.83  24.8  13.5 496.  2.6   63.  12.7
 19  5    1   0.0  0.00 0.00   0.00  32.6  17.7 680.  6.6  150.  13.6
 20  5    1   0.0  0.00 0.00   0.00  28.5  16.3 452.  2.8  322.  14.9
 21  5    1   3.4  3.94 0.51  16.00  19.8   5.7 610.  3.0  266.   6.1
 22  5    1   0.0  0.00 0.00   0.00  19.4   7.1 743.  6.3  151.   4.7
 23  5    1   0.0  0.00 0.00   0.00  21.6   7.1 500. 11.3  296.   5.5
 24  5    1   0.0  0.00 0.00   0.00  17.4   6.8 572.  4.5   70.   6.0
 25  5    1   0.0  0.00 0.00   0.00  31.0  17.0 512.  8.8  317.  15.4
 26  5    1   0.0  0.00 0.00   0.00  27.8  10.8 400.  2.2  189.   8.8
 27  5    1   0.0  0.00 0.00   0.00  15.3   3.0 565.  8.5  155.   1.6
 28  5    1   0.0  0.00 0.00   0.00  29.1  15.0 260. 11.5  198.  13.9
 29  5    1  13.0  3.21 0.13   3.36  22.4   9.9 375.  3.8  237.   8.0
 30  5    1  27.3  2.99 0.05   5.33  25.6  14.3 606.  7.1  313.  13.8
 31  5    1   0.0  0.00 0.00   0.00  18.0   4.0 495.  4.7   20.   1.2
  1  6    1   0.0  0.00 0.00   0.00  23.0  10.7 766.  3.9  207.  10.7
  2  6    1   0.0  0.00 0.00   0.00  32.4  20.1 715.  5.9  121.  20.1
  3  6    1   0.0  0.00 0.00   0.00  28.7  16.3 289.  9.4  242.  16.3
  4  6    1   0.0  0.00 0.00   0.00  28.7  16.3 395.  4.0  107.  16.3
  5  6    1   0.0  0.00 0.00   0.00  32.0  19.7 533.  3.9  185.  19.7
  6  6    1   0.0  0.00 0.00   0.00  35.0  22.6 352.  2.2  102.  22.6
  7  6    1   0.0  0.00 0.00   0.00  29.4  17.0 670.  4.6  178.  17.0
  8  6    1   0.0  0.00 0.00   0.00  17.0   4.7 384.  5.8   48.   4.7
  9  6    1   0.0  0.00 0.00   0.00  25.0  12.7 571.  5.0  108.  12.7
 10  6    1   0.0  0.00 0.00   0.00  27.6  15.3 462.  5.4  172.  15.3
 11  6    1   2.6  1.96 0.78   6.77  25.9  13.6 578.  4.8  240.  13.6
 12  6    1   1.4  2.02 0.06   8.28  29.8  17.5 600.  4.6  167.  17.5
 13  6    1   0.0  0.00 0.00   0.00  21.3   9.0 624.  3.5  273.   9.0
 14  6    1  13.3  0.89 0.03   2.20  25.3  13.0 784.  6.1   15.  13.0
 15  6    1   0.0  0.00 0.00   0.00  31.2  18.9 523.  7.0  325.  18.9
 16  6    1   0.0  0.00 0.00   0.00  27.7  15.4 588.  1.7   98.  15.4
 17  6    1   0.0  0.00 0.00   0.00  30.1  17.8 796.  6.1  250.  17.8
 18  6    1   0.0  0.00 0.00   0.00  21.0   8.7 561.  1.9  318.   8.7
 19  6    1  40.3  2.42 0.09   3.43  32.1  19.8 810.  7.3  184.  19.8
 20  6    1   0.0  0.00 0.00   0.00  27.9  15.6 650.  3.4  313.  15.6
 21  6    1   0.0  0.00 0.00   0.00  29.8  17.5 456.  2.9  237.  17.5
 22  6    1   0.0  0.00 0.00   0.00  26.1  13.8 627.  5.5  155.  13.8
 23  6    1   0.0  0.00 0.00   0.00  31.8  19.5 465.  5.5  186.  19.5
 24  6    1   0.0  0.00 0.00   0.00  27.0  14.7 392.  4.1  295.  14.7
 25  6    1   0.0  0.00 0.00   0.00  33.3  20.9 523.  4.2  154.  20.9
 26  6    1   0.0  0.00 0.00   0.00  32.4  20.0 438.  4.6  180.  20.0
 27  6    1   8.9  3.59 0.33   4.67  25.8  13.5 392.  6.8  216.  13.5
 28  6    1   0.0  0.00 0.00   0.00  23.6  11.2 500.  4.2  209.  11.2
 29  6    1   0.0  0.00 0.00   0.00  26.2  13.9 450.  7.5  233.  13.9
 30  6    1   0.0  0.00 0.00   0.00  24.8  12.5 463.  4.7  185.  12.5
  1  7    1   0.0  0.00 0.00   0.00  27.0  15.5 700.  5.2  189.  16.1
  2  7    1   0.0  0.00 0.00   0.00  34.2  22.9 234.  7.3  208.  22.7
  3  7    1   0.0  0.00 0.00   0.00  29.0  18.3 654.  1.5  312.  17.4
  4  7    1   0.0  0.00 0.00   0.00  37.4  23.8 744.  6.3  150.  24.5
  5  7    1   0.0  0.00 0.00   0.00  31.5  19.4 438.  0.2   71.  17.9
  6  7    1   0.0  0.00 0.00   0.00  30.2  18.2 411.  4.7  225.  17.1
  7  7    1   0.0  0.00 0.00   0.00  31.4  17.4 549.  3.5  292.  16.5
  8  7    1   0.0  0.00 0.00   0.00  35.6  20.4 345.  7.5  196.  19.2
  9  7    1   0.0  0.00 0.00   0.00  31.2  19.0 372.  4.0  337.  18.7
 10  7    1   0.0  0.00 0.00   0.00  30.8  20.3 683.  2.3  115.  19.3
 11  7    1   0.0  0.00 0.00   0.00  30.0  18.6 562.  3.1    5.  18.7
 12  7    1  67.4  4.87 0.03  11.42  26.8  16.0 584.  2.9  291.  15.9
